,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2025-04-07,54243.28515625,55717.287470278534,51983.148274739586,52376.21555848053,114987340,65.8567340133055,3538.6565978430617,58.81328295206446
2025-04-14,54341.546875,56110.34948575949,53555.412381329115,55324.21499208861,53003689,64.2116751645039,3440.2846485017935,41.81444890793449
2025-04-21,54734.62109375,55422.48886333034,53751.95285149237,54243.28697262119,49386688,55.90192223259489,3263.309784835411,37.43789278685674
2025-04-28,53358.87890625,55520.748769854974,53260.612094267955,54832.88108598066,55105429,46.93304413486726,3162.992473910572,30.81432144088227
2025-05-05,53850.21875,54538.08650775547,53358.88463731752,53358.88463731752,41271845,49.7356562272698,2964.6139866700614,29.049532883938678
2025-05-12,55815.5546875,57584.357476892605,54046.75189810739,54243.28554137324,68250680,57.58932320058433,3041.566460692316,32.932109801484195
2025-05-19,53260.61328125,55717.2836355512,53162.34646707795,55422.483193035056,53178256,49.450804413190745,3002.7306366652892,30.4459175175441
2025-05-26,55225.953125,56208.621330071175,52769.282612322066,52965.8162533363,81013633,42.339356668818304,3046.3914447736715,33.82807504073135
2025-06-02,58075.6875,58861.82201776649,55225.94987309645,55324.21668781726,55786525,39.48948888863905,3105.3395147633087,47.08007698546604
2025-06-09,57289.5546875,59353.15785806175,56699.95378162521,59353.15785806175,86987247,53.2817667911577,3060.1259709306314,66.11853036882378
2025-06-16,58468.7578125,59549.692830882355,55913.82049632353,56994.75551470588,103407109,70.18308963627253,3117.7006072934505,81.54312889568766
2025-06-23,59746.2265625,60532.36112253289,56601.68832236842,57387.82288240131,100965975,72.50732529920711,3198.997826580553,81.97712698223395
2025-06-30,62584.4375,63968.61147314376,59124.002567140604,60508.17654028436,101598834,81.12069520204429,3363.5589345228136,87.1906502508826
2025-07-07,61892.3515625,62584.438560802715,59519.48185403355,62188.96027605831,88820970,76.69437213512035,3333.698711747449,86.32494490793324
2025-07-14,66341.4765625,67033.56350130403,61101.38974012668,61595.73755355812,118448922,83.58900272680529,3593.5462166904395,88.0831764373706
2025-07-21,65155.046875,68022.2644157815,64166.351171282244,66638.09043057663,74980315,83.94452542545699,3619.782919471321,85.93707170289969
2025-07-28,68121.1328125,73163.48081458635,66440.35014513788,67429.04583182148,148891490,90.8082959794912,4058.6480214828234,83.87531237001507
2025-08-04,70988.34375,71581.56110724233,67527.90916608635,68714.34388057103,78964731,90.97516861293762,4058.1484134501397,81.45054880218437
2025-08-11,70790.609375,71581.5659043296,69999.6528456704,71186.08763966481,51403773,91.0401000268687,3810.5248779710464,83.1311166912551
2025-08-18,70592.8671875,71087.21499693627,68615.4759497549,70296.25850183824,69695454,82.96518702772872,3676.646294892079,86.40512415869277
2025-08-25,68912.0859375,70988.34677636297,68813.21637374461,70889.4772126076,58841393,75.44679081055403,3526.4947056647075,81.89055180389818
2025-09-01,68714.3515625,69604.17769784173,66736.9601506295,67626.78628597122,56700518,67.7092164695806,3460.5669898194596,75.9125234338856
2025-09-08,74547.6484375,74745.38755802387,68813.21394230769,69010.95306283157,95075124,68.06082370942845,3717.6138903899005,80.44708995955813
2025-09-15,79392.2578125,79589.99693532067,75041.9971104452,76327.30140877957,94602422,78.29901564442433,3850.0873511329773,88.6472156422927
2025-09-22,82358.34375,85225.56099939976,80183.21342286916,80578.69166416567,113177260,78.89358848086837,4048.4089347096565,94.6722505627144
2025-09-29,88735.4296875,89279.21226497214,82259.47353760446,82358.34309714485,101310544,80.15068223743961,4345.5419139754595,94.31150017578521
2025-10-06,93749.2890625,93848.5997500662,89131.34209067134,89131.34209067134,35269748,77.72356422073034,4422.304728834534,94.5459055056295
2025-10-13,97225.15625,98416.88441649642,89578.2338483146,90670.65133426967,131350523,80.12051864215783,4863.939312769264,97.83032233723283
2025-10-20,98118.953125,99211.37061930668,94841.70064207996,97225.15699329453,93621703,81.6733432900462,4814.512379215009,97.50266225782305
2025-10-27,106758.984375,107851.40188953489,98416.88699127907,100601.72202034884,152466621,90.1815182054211,5306.306017746996,96.73909100431017
2025-11-03,97225.15625,111625.20492849847,95636.1853613381,106163.1174987232,156967139,78.70293020617119,6374.577372688334,87.2997578440637
2025-11-10,96529.9765625,105269.31600437242,96529.9765625,97920.32601916151,113643449,72.8838354901275,6611.053579606743,76.66795333635945
2025-11-17,94146.5234375,102190.68841475474,93848.59140130537,99112.057374077,103334007,64.03531066965027,6784.157922991006,61.62766518649348
2025-11-24,99807.234375,104772.76842350747,95536.87509328358,97125.84598880597,99001482,64.8914676988995,7168.366629292652,59.79206273988594
2025-12-01,107652.78125,107652.78125,99211.37312615314,101296.89748616236,70939656,64.24748322307701,7295.670778748074,67.03604076614303
2025-12-08,108149.3359375,109738.30689709596,106063.8115530303,108943.82141729798,78769475,64.14981539721732,6933.553235279832,77.81116059403409
2025-12-15,105567.25,108943.81302916275,101992.06561618063,104574.14322671684,108107073,56.57545806572467,6935.372653050061,81.18085760953218
2025-12-22,116193.4921875,116193.4921875,108546.57005208333,108943.81276041667,91789471,55.763132023050076,7304.459606495055,85.68999517719635
2025-12-29,127614.2265625,127614.2265625,117385.22630107004,118576.9544868677,69885632,55.58627974302572,7716.087083345549,90.84083567690402
2026-01-05,138712.890625,144201.53018210432,132425.90349595324,134321.97897931654,205472025,60.14932289340233,8603.208736971428,96.36655463745755
2026-01-12,148592.4375,149191.1981615178,136517.43082605777,140708.75545668235,121801572,73.57218830156901,9010.264596820289,96.00591588396088
2026-01-19,151785.828125,156675.7068745891,141507.103406476,146895.9493754109,136006446,83.88965733952344,9626.098483949569,93.41155901922552
2026-01-26,160168.484375,166255.8847157321,148891.82472741435,154580.05127531153,156086280,92.2713661543371,10399.894634386386,94.17571441610845
2026-02-02,158272.40625,169050.09847887768,150089.34363177806,155378.39629965322,181014533,93.14889935129216,11255.980655657711,89.3922671941694
2026-02-09,180825.71875,184019.10892660043,161665.37769039735,168251.74492963575,142978982,93.80583929440232,12705.052857751984,90.68892594711032
2026-02-16,189707.34375,190505.69133022093,180825.72692004207,180825.72692004207,51263268,93.84199388543587,12402.544829998878,93.25756631455613
2026-02-23,216052.8125,222539.3865473441,190106.51631062356,193998.46073903,163283828,100.0,14445.4946267334,96.50487368973275
2026-03-02,187811.265625,212061.07303566684,171544.93390508767,209067.2696516339,227788743,81.99556634207852,17451.733023551293,86.79393431125902
2026-03-09,183120.96875,194397.6278610354,166954.43090940054,173141.62440395096,140914630,73.25768922259977,18450.87941635965,72.51355546157511
