,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2024-07-15,2795.4599609375,2872.89990234375,2776.989990234375,2869.14990234375,2733200,71.0729643245576,74.76802001986715,80.69702080771658
2024-07-22,2731.89990234375,2796.919921875,2703.860107421875,2790.989990234375,2307200,62.590628004850196,76.59719946319294,61.05470924168511
2024-07-29,2676.18994140625,2794.110107421875,2666.39990234375,2748.320068359375,2418400,62.90398507647649,81.70850002468615,37.9618620879969
2024-08-05,2588.429931640625,2611.300048828125,2386.9599609375,2611.300048828125,2773400,62.430888295763054,102.46064806909254,30.70596546929819
2024-08-12,2697.22998046875,2699.610107421875,2602.010009765625,2602.159912109375,1386200,59.67993480627483,103.3326008403083,38.686396853288315
2024-08-19,2701.68994140625,2712.840087890625,2664.280029296875,2697.969970703125,2069500,58.19146946585109,97.85534661565248,54.07384263574324
2024-08-26,2674.31005859375,2718.469970703125,2649.56005859375,2716.8798828125,1446200,48.418921328780506,94.96080316502473,59.692762421116846
2024-09-02,2544.280029296875,2695.590087890625,2529.31005859375,2683.800048828125,1779800,37.459900328436625,102.09272577820975,49.6856334460903
2024-09-09,2575.409912109375,2584.110107421875,2491.300048828125,2498.669921875,1278800,28.437711862449973,101.16445905976379,41.42345009485866
2024-09-16,2593.3701171875,2619.550048828125,2550.090087890625,2594.669921875,881100,22.691821594963244,97.9940092475374,36.78168391002349
2024-09-23,2649.780029296875,2681.449951171875,2588.489990234375,2596.469970703125,1886600,34.306837666702464,97.49060441653367,47.85820131046797
2024-09-30,2569.7099609375,2668.659912109375,2555.4599609375,2665.239990234375,1124200,36.920532625774754,99.0615390920678,50.49011743821793
2024-10-07,2596.909912109375,2621.929931640625,2561.4599609375,2579.199951171875,1771800,38.614680757812856,95.20238225317352,57.44176130234474
2024-10-14,2593.820068359375,2635.320068359375,2587.9599609375,2602.6298828125,1874100,52.642521226034354,90.41815477004367,51.115263369431794
2024-10-21,2583.27001953125,2618.7099609375,2564.4599609375,2600.77001953125,1742400,42.70075105910881,86.8013392930393,49.648576365168594
