,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2024-03-04,69019.7890625,70083.0546875,59323.91015625,63137.00390625,405709693297,88.98427341439688,4986.357817568726,95.0973859726505
2024-03-11,68390.625,73750.0703125,64545.31640625,69020.546875,405957750577,90.60846331282666,5408.197426436854,92.82683081111854
2024-03-18,67234.171875,68897.1328125,60807.78515625,68371.3046875,328097121682,75.89738361357703,5676.312449418168,87.64043517980527
2024-03-25,71333.6484375,71727.6875,66414.8359375,67234.09375,216324625836,81.29345890527253,5639.966360726352,86.47695553530316
2024-04-01,69362.5546875,71342.09375,64559.8984375,71333.484375,229427260104,76.5203381702241,5754.189255903717,86.96802968116343
2024-04-08,65738.7265625,72715.359375,60919.10546875,69362.5546875,288243675431,67.20742060110467,6358.395720938346,84.65187003030833
2024-04-15,64926.64453125,66878.6484375,59651.390625,65739.6484375,257889555865,59.77491333468557,6445.281930094512,75.62810807561259
2024-04-22,63113.23046875,67233.9609375,62424.71875,64935.6328125,176031088174,59.87282447140903,6281.677955835062,64.917675346342
2024-04-29,64031.1328125,64703.33203125,56555.29296875,63106.36328125,217717011805,53.77171387778438,6468.314066501556,59.202140564938645
2024-05-06,61448.39453125,65494.90234375,60208.78125,64038.3125,161617857129,51.40891919450329,6350.094769226401,46.66465250441967
2024-05-13,66278.3671875,67694.296875,60769.83984375,61451.21875,191456349028,47.11939734199447,6407.530995428761,47.47074126652695
2024-05-20,68518.09375,71946.4609375,66086.171875,66278.7421875,225779718034,42.76195436402666,6352.806802135885,53.01016841771957
2024-05-27,67751.6015625,70597.8828125,66633.421875,68512.1796875,170949409910,45.75347704668123,6113.972215672296,66.61913424836347
2024-06-03,69647.9921875,71907.8515625,67589.8359375,67753.8984375,187569500742,44.9611605662554,5934.376556605067,74.77652562889924
2024-06-10,66639.046875,70146.0703125,65056.89453125,69644.3125,175973271622,46.24586971084088,5849.85647906956,70.90061978428533
2024-06-17,63180.796875,67188.3203125,63180.796875,66636.515625,163449015388,49.3959666922963,5665.623174912605,62.15516564671029
2024-06-24,62678.29296875,63292.52734375,58601.69921875,63173.3515625,171030093873,51.82961855038297,5568.143669921344,48.40973581047814
2024-07-01,55849.109375,63777.2265625,53717.375,62673.60546875,213107531443,42.090773028306614,6017.314459179209,31.50804470310921
2024-07-08,60787.79296875,61329.52734375,54321.01953125,55849.57421875,187407019962,52.20591259717079,6116.433794511288,30.08771934099418
2024-07-15,68154.5234375,68372.90625,60704.9296875,60815.45703125,222161876179,53.955360761379275,6271.58807131016,43.226341430940614
2024-07-22,68255.8671875,69398.5078125,63473.47265625,68152.9765625,227265184992,54.97843671531369,6236.932779804143,65.91308475794678
2024-07-29,58116.9765625,69987.5390625,57210.8046875,68259.0546875,251002338760,42.692487090607415,6890.912939323729,61.04636015519787
2024-08-05,58719.484375,62673.765625,49121.23828125,58110.296875,317158734647,40.650686108274385,7557.074379766356,48.68765348030886
2024-08-12,58483.96484375,61687.7578125,56161.59375,58719.39453125,193731393138,39.885350959924956,7353.983348039721,36.94678245137275
2024-08-19,64333.54296875,64996.421875,57864.7109375,58480.7109375,200670274120,49.187429956846735,7331.756106985749,53.185917830880406
2024-08-26,57325.48828125,64489.70703125,57217.82421875,64342.2265625,208589155271,48.48676786160434,7325.768777537174,52.25121092937741
2024-09-02,54841.56640625,59815.05859375,52598.69921875,57326.96875,207052844168,48.118972626180195,7314.8278372834575,46.545357381029355
2024-09-09,59182.8359375,60656.72265625,54598.43359375,54851.88671875,201400392020,57.074332255069734,7189.173959805112,38.31724660208011
2024-09-16,63648.7109375,64119.53125,57501.33984375,59185.2265625,223578476939,57.94842871625702,7132.0757044496,48.41841837906626
2024-09-23,65635.3046875,66480.6953125,62628.078125,63643.1015625,185380794223,57.1426456484196,6804.1298527546405,65.66111414069199
2024-09-30,62818.953125,65635.0546875,59878.8046875,65634.65625,221870167581,46.241441515789184,6699.366867479176,71.46970990093864
2024-10-07,62851.375,64443.70703125,58895.20703125,62819.109375,185760615870,47.667355682970964,6584.280180731259,74.6268520112985
2024-10-14,69001.703125,69359.0078125,62442.15234375,62848.3984375,233833427420,60.928686584935136,6617.537709533133,80.86880823547087
2024-10-21,67929.296875,69462.734375,65188.03515625,69002.0,210764883686,61.78771704211371,6383.25386045482,89.2894424866028
2024-10-28,68741.1171875,73577.2109375,67482.5234375,67922.671875,281658996077,63.79537133075932,6354.397224409338,88.57419929716217
2024-11-04,80474.1875,81474.421875,66803.6484375,68742.1328125,436048950363,76.48987790083842,7186.0348457184045,88.13017324091153
2024-11-11,89845.8515625,93434.3515625,80283.25,80471.4140625,631742325166,87.3560702490242,7782.541517396564,88.08110251187462
2024-11-18,98013.8203125,99655.5,89393.59375,89843.71875,502412531238,89.29033435506096,8030.477990656907,94.46714913578136
