,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2024-05-20,72905.8125,75979.5753458498,72713.70232213438,75019.02445652174,99288237,61.73388104101743,3459.004306159329,41.877807688936436,-0.019379868584344706,0.06782988715968674,0.0018172892398371815,-1201.5816209312857,6.168091361223254,-10.568706758733867,0.129057494695511
2024-05-27,70600.484375,75115.07317176872,70600.484375,72329.47582908164,147359198,47.965887276605194,3564.562755220268,24.04373619899759,-0.03162063552888872,0.062092548706580875,0.0019115626252808344,-1214.2641280726325,-5.967807386019622,-26.041755326378986,-1.5997669001348507
2024-06-03,74250.578125,75499.2941866106,71272.87059346701,71464.98075679172,74171638,45.34809039677938,3697.9874608593013,20.44571933089922,0.05170068990762511,-0.06081422647772394,0.001353229020053501,519.4876007446273,-4.74279850508406,-27.049943992817784,-1.7414226408873617
2024-06-10,76459.8515625,77324.34737162375,72137.37251688128,73097.92341590766,107507071,43.41068587507849,3846.886200247618,26.400006770678246,0.029754292738040533,-0.05347358548843817,0.001240619889685997,1041.7934541073864,-6.3733638170953455,-19.738053975118305,-1.5816237665836892
2024-06-17,76844.0625,79245.439453125,74922.9609375,76075.621875,96695948,43.84929040198603,3894.445431785356,48.73675012812324,0.005025002398624023,-0.05386487803891338,0.0011356990633217166,1509.4912816037236,-4.725537687444692,5.180808771868151,-0.30431735388922965
2024-06-24,78284.890625,78669.1109470859,76363.78901457055,76555.8991756135,73521576,55.16577533693399,3735.533081858355,68.23305709209744,0.018750025416732763,-0.03937245920352228,0.0011797108355746158,1064.2260507590663,4.576905089628347,21.57792942713742,1.2891230525374613
2024-07-01,84037.140625,84037.140625,78151.64627583238,78634.06384543628,126877856,67.49024875606125,3950.5292085892825,85.29971301452838,0.07347841906753638,0.05225688415426122,0.0010486238558949997,684.0985370573626,4.693756889823767,21.4915391860049,1.3368167757371006
2024-07-08,81432.078125,85677.3523400474,81142.62761033769,84809.00079606043,114207851,69.4535851077541,4008.9487607013248,86.910458342202,-0.030998942617819436,0.1373330879310931,0.0011721974939189052,583.9527810863647,5.984522940065155,25.9130059049439,1.6651315431329463
2024-07-15,81432.078125,84905.48430094786,80853.17709567536,81721.52863966233,102837170,59.66405455445048,4013.284605158443,81.22831070357059,0.0,0.0946002736870507,0.0011798631075651963,634.1434035458033,-1.8621626251361931,21.521585429444187,0.8100495174477771
2024-07-22,78055.15625,81914.49648485785,77283.28820302842,81432.07895550062,86525177,58.3348413656339,4075.076972825542,64.37645502700725,-0.04146918453703652,0.07398180342829275,0.0013810670425507177,594.016998564462,2.014587735355491,12.43649609881821,0.6943943492973831
2024-07-29,76800.875,83072.30323492462,76704.39148869347,78730.54522613065,93411708,58.31125051434531,4304.360450166103,54.1373630711791,-0.016069165834255772,0.05523979826046943,0.0013508975828808193,850.164211740926,1.9784621679818812,1.2931025540864312,0.128447866984411
