Date,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2024-05-20,72905.8046875,75979.56720396904,72713.69453022069,75019.01641757246,99288237,61.73388566163965,3552.726941156831,41.877741237248806,-0.019379870620821915,0.06782992139936572,0.0018172947112439254,-1119.3308677352693,6.746336118960585,-10.568754478772767,0.16345761311512633
2024-05-27,70600.4921875,75115.08148384355,70600.4921875,72329.48383290817,147359198,47.965889431026405,3648.9131766755027,24.043677580633044,-0.03162042459967873,0.0620924709663786,0.0019115670173055338,-1141.7273537797828,-5.392365326077936,-26.041809650758616,-1.5335800619904472
2024-06-03,74250.5859375,75499.30213049806,71272.87809265847,71464.98827619664,74171638,45.34809288408846,3773.902853307759,20.4456957511842,0.05170068418653684,-0.06081420629444367,0.0013532313659366589,583.0648420561274,-4.024499075250176,-27.049962200178594,-1.6774850860449095
2024-06-10,76459.8671875,77324.36317328832,72137.38725855842,73097.93835387877,107507071,43.41068962025574,3915.2101594499736,26.40004563727432,0.02975439482537756,-0.05347346287985766,0.0012406238970576263,1097.1836037442513,-5.645385143530383,-19.7380274086029,-1.5182837507670452
2024-06-17,76844.0703125,79245.44750976562,74922.9685546875,76075.629609375,96695948,43.849294727499036,3955.9370390127892,48.7368478854162,0.005024899193950105,-0.05386465334299584,0.0011357029779556064,1557.2497792310683,-3.9818240548613915,5.180907543774978,-0.25304345765402714
2024-06-24,78284.8984375,78669.11879792945,76363.79663535276,76555.90681556749,73521576,55.16577903236908,3790.8755513691794,68.23314741918811,0.01875002351047539,-0.03937233771227866,0.0011797146800148763,1106.5254610004263,5.30168442014066,21.578019820899485,1.3177750804809316
2024-07-01,84037.125,84037.125,78151.63174512055,78634.0492250287,126877856,67.49024916425097,4000.3373217202065,85.29977106846006,0.07347811234745838,0.0522571980846136,0.0010486202988060165,723.9294885100112,5.3470139335887765,21.491584746533377,1.362557259305765
2024-07-08,81432.0859375,85677.36055983412,81142.63539506814,84809.0089325385,114207851,69.45358626319475,4053.7761060247844,86.91045685851901,-0.030998669486848818,0.13733320238380264,0.001172191261874887,617.6056394506786,6.574682459210543,25.912946357741376,1.683216323150678
2024-07-15,81432.0859375,84905.49244668247,80853.18485263626,81721.53647993188,102837170,59.664055347620184,4053.6292548269275,81.22830940973502,0.0,0.09460055149678026,0.001179856889406001,663.3978982878311,-1.2435652872015766,21.521536989708373,0.8487930947874988
2024-07-22,78055.1640625,81914.5046836372,77283.29593827257,81432.08710599506,86525177,58.33484130545627,4111.3872038806985,64.37645328794082,-0.041469180558530994,0.07398186729337008,0.0013810603468774026,617.9292677287754,2.6369215182984007,12.436472283119059,0.7286596269736123
2024-07-29,76800.8828125,83072.31168538002,76704.39929137877,78730.55323492462,93411708,58.31124933502442,4337.039722892754,54.137361608711636,-0.016069164225901544,0.055239968797917816,0.001350890332752725,870.7736529584499,2.6145420039815974,1.2930637169072128,0.16574160329354096
2024-08-05,72073.1796875,74195.81684027778,67731.421875,74002.84982638889,179417395,56.7672626205154,4810.281844353479,38.254386826592075,-0.06155792683454053,0.058550675192838186,0.0017061366695539787,739.4423870450273,4.8946754636889125,-8.599497202420118,-0.10955821451162816
2024-08-12,77379.78125,77379.78125,72169.6712905237,72555.60536159601,55863166,56.10464492362287,4859.913816168131,39.694066307650836,0.07362796515303938,0.028613172957976385,0.0020533119354453067,-747.7122296746893,-0.3373907315001716,-18.332050711350398,-0.8120712760888761
2024-08-19,74967.6796875,77283.28369329151,74774.71268701737,77283.28369329151,50205406,53.64029398722752,4634.429290849582,39.42651570136429,-0.031172245818412714,0.05054045392447892,0.001974806050364204,-243.7389182519155,1.531682240918613,-9.202322608728366,-0.2884056436603959
2024-08-26,71687.25,75450.1069986541,70915.38189771198,75353.6234858681,69823596,45.31513141826248,4624.458871858835,38.7096781403657,-0.04375791942840368,-0.010386186719311352,0.002054508684625706,5.924103556604678,-0.15709004485697164,-1.2924789167489195,-0.07476413571724495
2024-09-02,66477.1328125,72073.17592298621,65608.78129535558,71880.20891917634,101031606,37.02725677513348,4808.452447436014,22.230828358985644,-0.07267843567022025,-0.05916900534166514,0.0024488159203013716,-295.9925309044447,-0.7737531558859416,-7.658765221229583,-0.3913625501021233
2024-09-09,62135.3828125,65801.75633249224,61942.41578513198,64547.470654600154,150653622,23.475412363876586,4781.0789054292145,9.060985311664167,-0.06531193233387467,-0.15059746452236078,0.002574468796751489,-116.77517839273969,-6.001825689749239,-10.903520261402138,-0.981632652010449
