Period,Model,Weeks,Correct,DA,Up_DA,Down_DA,Pred_Up_Ratio
2025-03-26 ~ 2025-06-11,Zero-return Baseline,12,0,0.0,0.0,0.0,0.0
2025-03-26 ~ 2025-06-11,Train-mean Baseline,12,6,50.0,100.0,0.0,100.0
2025-03-26 ~ 2025-06-11,Price-only Baseline,12,8,66.66666666666666,83.33333333333334,50.0,66.66666666666666
2025-03-26 ~ 2025-06-11,Model A (PCA 통합),12,8,66.66666666666666,83.33333333333334,50.0,66.66666666666666
2025-03-26 ~ 2025-06-11,Model B (세부 잔차),12,7,58.333333333333336,83.33333333333334,33.33333333333333,75.0
2025-03-26 ~ 2025-06-11,Model B-ATR (ATR 단일 심리지표),12,9,75.0,100.0,50.0,75.0
2025-03-26 ~ 2025-06-11,Model B-MFI (MFI 단일 심리지표),12,7,58.333333333333336,83.33333333333334,33.33333333333333,75.0
2025-03-26 ~ 2025-06-11,Model B-Stochastic (Stochastic 단일 심리지표),12,8,66.66666666666666,83.33333333333334,50.0,66.66666666666666
2025-03-26 ~ 2025-06-11,Model C (전체 혼용),12,7,58.333333333333336,83.33333333333334,33.33333333333333,75.0
2025-06-18 ~ 2025-09-03,Zero-return Baseline,12,0,0.0,0.0,0.0,0.0
2025-06-18 ~ 2025-09-03,Train-mean Baseline,12,8,66.66666666666666,100.0,0.0,100.0
2025-06-18 ~ 2025-09-03,Price-only Baseline,12,8,66.66666666666666,50.0,100.0,33.33333333333333
2025-06-18 ~ 2025-09-03,Model A (PCA 통합),12,8,66.66666666666666,50.0,100.0,33.33333333333333
2025-06-18 ~ 2025-09-03,Model B (세부 잔차),12,10,83.33333333333334,75.0,100.0,50.0
2025-06-18 ~ 2025-09-03,Model B-ATR (ATR 단일 심리지표),12,8,66.66666666666666,50.0,100.0,33.33333333333333
2025-06-18 ~ 2025-09-03,Model B-MFI (MFI 단일 심리지표),12,10,83.33333333333334,75.0,100.0,50.0
2025-06-18 ~ 2025-09-03,Model B-Stochastic (Stochastic 단일 심리지표),12,8,66.66666666666666,50.0,100.0,33.33333333333333
2025-06-18 ~ 2025-09-03,Model C (전체 혼용),12,10,83.33333333333334,75.0,100.0,50.0
2025-09-10 ~ 2025-11-26,Zero-return Baseline,12,0,0.0,0.0,0.0,0.0
2025-09-10 ~ 2025-11-26,Train-mean Baseline,12,9,75.0,100.0,0.0,100.0
2025-09-10 ~ 2025-11-26,Price-only Baseline,12,8,66.66666666666666,55.55555555555556,100.0,41.66666666666667
2025-09-10 ~ 2025-11-26,Model A (PCA 통합),12,8,66.66666666666666,55.55555555555556,100.0,41.66666666666667
2025-09-10 ~ 2025-11-26,Model B (세부 잔차),12,7,58.333333333333336,44.44444444444444,100.0,33.33333333333333
2025-09-10 ~ 2025-11-26,Model B-ATR (ATR 단일 심리지표),12,8,66.66666666666666,55.55555555555556,100.0,41.66666666666667
2025-09-10 ~ 2025-11-26,Model B-MFI (MFI 단일 심리지표),12,8,66.66666666666666,55.55555555555556,100.0,41.66666666666667
2025-09-10 ~ 2025-11-26,Model B-Stochastic (Stochastic 단일 심리지표),12,8,66.66666666666666,55.55555555555556,100.0,41.66666666666667
2025-09-10 ~ 2025-11-26,Model C (전체 혼용),12,7,58.333333333333336,44.44444444444444,100.0,33.33333333333333
2025-12-03 ~ 2026-03-04,Zero-return Baseline,12,0,0.0,0.0,0.0,0.0
2025-12-03 ~ 2026-03-04,Train-mean Baseline,12,9,75.0,100.0,0.0,100.0
2025-12-03 ~ 2026-03-04,Price-only Baseline,12,5,41.66666666666667,33.33333333333333,66.66666666666666,33.33333333333333
2025-12-03 ~ 2026-03-04,Model A (PCA 통합),12,5,41.66666666666667,33.33333333333333,66.66666666666666,33.33333333333333
2025-12-03 ~ 2026-03-04,Model B (세부 잔차),12,5,41.66666666666667,33.33333333333333,66.66666666666666,33.33333333333333
2025-12-03 ~ 2026-03-04,Model B-ATR (ATR 단일 심리지표),12,5,41.66666666666667,33.33333333333333,66.66666666666666,33.33333333333333
2025-12-03 ~ 2026-03-04,Model B-MFI (MFI 단일 심리지표),12,5,41.66666666666667,33.33333333333333,66.66666666666666,33.33333333333333
2025-12-03 ~ 2026-03-04,Model B-Stochastic (Stochastic 단일 심리지표),12,5,41.66666666666667,33.33333333333333,66.66666666666666,33.33333333333333
2025-12-03 ~ 2026-03-04,Model C (전체 혼용),12,5,41.66666666666667,33.33333333333333,66.66666666666666,33.33333333333333
2026-03-11 ~ 2026-05-13,Zero-return Baseline,10,0,0.0,0.0,0.0,0.0
2026-03-11 ~ 2026-05-13,Train-mean Baseline,10,7,70.0,100.0,0.0,100.0
2026-03-11 ~ 2026-05-13,Price-only Baseline,10,6,60.0,57.14285714285714,66.66666666666666,50.0
2026-03-11 ~ 2026-05-13,Model A (PCA 통합),10,6,60.0,57.14285714285714,66.66666666666666,50.0
2026-03-11 ~ 2026-05-13,Model B (세부 잔차),10,6,60.0,57.14285714285714,66.66666666666666,50.0
2026-03-11 ~ 2026-05-13,Model B-ATR (ATR 단일 심리지표),10,6,60.0,57.14285714285714,66.66666666666666,50.0
2026-03-11 ~ 2026-05-13,Model B-MFI (MFI 단일 심리지표),10,6,60.0,57.14285714285714,66.66666666666666,50.0
2026-03-11 ~ 2026-05-13,Model B-Stochastic (Stochastic 단일 심리지표),10,6,60.0,57.14285714285714,66.66666666666666,50.0
2026-03-11 ~ 2026-05-13,Model C (전체 혼용),10,6,60.0,57.14285714285714,66.66666666666666,50.0
