Model,R2,RMSE,MAE,DA,Correct,Test_N,Up_DA,Down_DA,Pred_Up_Ratio
Zero-return Baseline,-0.2676873849623178,0.06189727226595836,0.04837855322572504,0.0,0,58,0.0,0.0,0.0
Train-mean Baseline,-0.2591232369580416,0.061687837454899,0.04822038338349737,67.24137931034483,39,58,100.0,0.0,100.0
Price-only Baseline,-0.2613247820749285,0.061741743713127406,0.0479549180803487,60.3448275862069,35,58,53.84615384615385,73.68421052631578,44.827586206896555
Model A (PCA 통합),-0.2613247820749285,0.061741743713127406,0.0479549180803487,60.3448275862069,35,58,53.84615384615385,73.68421052631578,44.827586206896555
Model B (세부 잔차),-0.266358788345344,0.06186482812170468,0.04800623026279055,60.3448275862069,35,58,56.41025641025641,68.42105263157895,48.275862068965516
Model B-ATR (ATR 단일 심리지표),-0.26208787282389046,0.06176041750369293,0.04797189786872655,62.06896551724138,36,58,56.41025641025641,73.68421052631578,46.55172413793103
Model B-MFI (MFI 단일 심리지표),-0.26438840448289946,0.061816680269197205,0.04801934285372882,62.06896551724138,36,58,58.97435897435898,68.42105263157895,50.0
Model B-Stochastic (Stochastic 단일 심리지표),-0.2613247820749285,0.061741743713127406,0.0479549180803487,60.3448275862069,35,58,53.84615384615385,73.68421052631578,44.827586206896555
Model C (전체 혼용),-0.266358788345344,0.06186482812170468,0.04800623026279055,60.3448275862069,35,58,56.41025641025641,68.42105263157895,48.275862068965516
