Date,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2024-03-04,70089.859375,71715.40863744884,69038.03338165075,71046.06482349931,98051816,39.89346418662289,2832.9759542525976,27.472661511398528
2024-03-11,69133.6640625,71237.31635762448,68942.4229447614,69707.38741571577,83121386,30.64263522551147,2779.167700113646,27.033081273180176
2024-03-18,75444.6171875,76400.82272853295,68559.93729206274,69420.52227899239,148297271,48.39143805307887,3285.3394737493027,46.85304012782936
2024-03-25,78791.3359375,78886.95649082221,74392.7904846784,76113.96044447816,118891263,60.55514732520732,3406.222126988754,70.35391999775102
2024-04-01,81166.546875,82127.09772559171,78765.16974852071,79917.83076923077,131820490,63.86022038122555,3401.7927119969786,93.70818243971478
2024-04-08,80398.109375,82607.37641875747,79245.44830869176,81838.9357078853,85278967,64.61061066624461,3397.806251803852,92.08897237855717
2024-04-15,74538.734375,79917.81829896907,73290.01846407862,79629.65308875644,133913001,60.13681128648634,3768.834717715605,73.25143887440136
2024-04-22,73674.2421875,75691.39875325946,72137.36099454042,74346.62770941982,99658089,57.79174411841801,3747.3550218159494,54.41388961715891
2024-04-29,74538.734375,75883.50535599227,73193.96339400773,74346.62423485825,65724010,64.1775750672069,3641.573715832808,40.51010984360272
2024-05-06,76075.625,78284.89188762626,75787.45975378787,76459.84532828283,75064503,70.28339180301269,3652.0320955121533,44.157015663087414
2024-05-13,74346.6328125,77132.23016593992,74154.5226501938,76267.73443556202,67324315,62.96968723643128,3584.5996375355503,45.752539276408605
2024-05-20,72905.8046875,75979.56720396904,72713.69453022069,75019.01641757246,99288237,61.73388566163965,3552.726941156831,41.877741237248806
2024-05-27,70600.4921875,75115.08148384355,70600.4921875,72329.48383290817,147359198,47.965889431026405,3648.9131766755027,24.043677580633044
2024-06-03,74250.5859375,75499.30213049806,71272.87809265847,71464.98827619664,74171638,45.34809288408846,3773.902853307759,20.4456957511842
2024-06-10,76459.8671875,77324.36317328832,72137.38725855842,73097.93835387877,107507071,43.41068962025574,3915.2101594499736,26.40004563727432
2024-06-17,76844.0703125,79245.44750976562,74922.9685546875,76075.629609375,96695948,43.849294727499036,3955.9370390127892,48.7368478854162
2024-06-24,78284.8984375,78669.11879792945,76363.79663535276,76555.90681556749,73521576,55.16577903236908,3790.8755513691794,68.23314741918811
2024-07-01,84037.125,84037.125,78151.63174512055,78634.0492250287,126877856,67.49024916425097,4000.3373217202065,85.29977106846006
2024-07-08,81432.0859375,85677.36055983412,81142.63539506814,84809.0089325385,114207851,69.45358626319475,4053.7761060247844,86.91045685851901
2024-07-15,81432.0859375,84905.49244668247,80853.18485263626,81721.53647993188,102837170,59.664055347620184,4053.6292548269275,81.22830940973502
2024-07-22,78055.1640625,81914.5046836372,77283.29593827257,81432.08710599506,86525177,58.33484130545627,4111.3872038806985,64.37645328794082
2024-07-29,76800.8828125,83072.31168538002,76704.39929137877,78730.55323492462,93411708,58.31124933502442,4337.039722892754,54.137361608711636
2024-08-05,72073.1796875,74195.81684027778,67731.421875,74002.84982638889,179417395,56.7672626205154,4810.281844353479,38.254386826592075
2024-08-12,77379.78125,77379.78125,72169.6712905237,72555.60536159601,55863166,56.10464492362287,4859.913816168131,39.694066307650836
2024-08-19,74967.6796875,77283.28369329151,74774.71268701737,77283.28369329151,50205406,53.64029398722752,4634.429290849582,39.42651570136429
2024-08-26,71687.25,75450.1069986541,70915.38189771198,75353.6234858681,69823596,45.31513141826248,4624.458871858835,38.7096781403657
2024-09-02,66477.1328125,72073.17592298621,65608.78129535558,71880.20891917634,101031606,37.02725677513348,4808.452447436014,22.230828358985644
2024-09-09,62135.3828125,65801.75633249224,61942.41578513198,64547.470654600154,150653622,23.475412363876586,4781.0789054292145,9.060985311664167
2024-09-16,60784.61328125,62424.8330047123,60012.74517609127,61749.44841269841,82148769,11.462741269977258,4544.179797748396,2.746901311340728
2024-09-23,61942.4140625,63100.21619450935,60012.74384248443,60109.22735348521,150151359,24.417533103664567,4398.509053176048,4.093993625009169
2024-09-30,58797.06640625,62386.98630234117,58117.89237185437,62289.96144028465,85415277,25.031946300489125,4385.567540907123,4.7302103662460775
2024-10-07,57535.74609375,60058.392634116775,57147.64662600126,58408.96989618465,137364502,24.80397195441742,4238.085387627962,4.336029646422354
2024-10-14,57438.7265625,59573.27383340372,57341.70168654983,57729.80119035051,104697889,27.448018567890983,4037.4340635505546,2.026197443517475
2024-10-21,54236.8984375,58214.917822003576,54139.87357446332,57244.66919163685,130727449,19.785568059023404,4041.1950819495246,1.2587224029753807
2024-10-28,56565.5,59379.221269296744,54042.85334476844,54042.85334476844,130875210,23.95163744033006,4170.712366207403,4.547336162113528
2024-11-04,55304.171875,57632.76858552631,54624.99783442982,56856.56968201754,86084137,24.043810224271667,4054.4182046963115,6.399615995634947
2024-11-11,51908.30078125,55110.121203271025,48415.40577540888,55013.09634199766,215587402,22.642039445161075,4337.852994185792,12.956494503383036
2024-11-18,54333.921875,55789.29478236607,53072.598688616075,55304.17047991072,134877926,33.60597579297129,4292.1670948788205,22.463023185795038
2024-11-25,52587.4765625,57147.645194303506,52199.377104474166,55692.27222670664,125769782,32.79296593276939,4357.777194373873,29.60143997465525
2024-12-02,52490.453125,52781.527726432534,50452.930914972276,52684.502859288354,120874387,21.002219916140717,4154.859156082512,32.62704651020812
2024-12-09,54430.953125,54819.05261252228,51617.23184046346,51908.306456105165,110963118,29.122443930022925,4059.555317680143,36.41472716645105
2024-12-16,51423.1796875,54916.07491155661,50355.906146816036,54625.00030955189,96348143,30.391587726681067,4109.616662386186,35.92997310885891
2024-12-23,52102.3515625,52975.57533170391,51617.22724627561,51811.276972765365,46571598,32.113349080707934,3853.894560567959,37.41718009807794
2024-12-30,53141.41796875,53825.2229793773,51090.002936868106,52066.86723776425,48573286,38.92050820076139,3742.0271087620827,34.56346033187515
2025-01-06,54020.6015625,56365.07613302441,53043.737158114825,53141.423598553345,103207887,37.03115799001298,3699.958295376833,45.84837553131528
2025-01-13,52457.6171875,53727.54088105214,51969.18499767225,53336.795129189944,90392193,37.0585392434653,3535.104122321925,50.06915967412507
2025-01-20,52457.6171875,53141.42225325885,51871.4985597067,52359.93074953445,71155922,42.51478771017583,3308.5860794449472,46.0156816491216
2025-01-27,51187.6953125,52457.61905116889,50503.89022244752,52457.61905116889,42186279,31.17655157291624,3173.10035437259,29.827614169181924
2025-02-03,52457.6171875,52946.04937732774,49624.71048649907,49917.76980039571,106477524,44.580859867660685,3187.9242080181984,28.407052457765612
2025-02-10,54704.40234375,55974.32596958705,51676.12292829241,51773.809361049105,125030539,59.28238862560607,3298.9520913458427,43.21276937983989
2025-02-17,56853.5078125,57732.68576836341,54411.346823990556,54802.092582152065,103229672,59.15865099309983,3301.1907766485438,68.8492879322147
2025-02-24,53239.11328125,56462.766012041284,53239.11328125,55974.33378010321,89892797,59.35922573121037,3332.5111521086897,69.69908397792938
2025-03-03,52457.6171875,54118.286632914336,52164.55787360335,52652.9900634311,61665843,58.26571191860277,3194.6329128289194,56.22491578278929
2025-03-10,53434.48828125,54606.72568412934,51285.386375971204,52262.25087837066,83613087,59.937816004878684,3207.3035523618414,42.16871633145996
2025-03-17,60272.53125,60272.53125,54118.28575769854,54215.97219408428,168263990,63.208103592382926,3570.3774940006574,60.642594749106706
2025-03-24,58807.2421875,60565.598266196015,58123.437045784885,59784.10667566445,84451498,72.65099330513664,3457.5558666417046,76.97220291588464
2025-03-31,55127.6875,58665.29311497326,54734.620209447414,58468.75946969697,88912712,70.91185560138253,3519.0624777827925,78.07531104180237
2025-04-07,54243.28515625,55717.287470278534,51983.148274739586,52376.21555848053,114987340,65.85673269116973,3540.570149558408,58.81327540310292
2025-04-14,54341.5546875,56110.35755255425,53555.42008080922,55324.22294586347,53003689,64.21167408307655,3442.00688177707,41.8144476432277
2025-04-21,54734.6171875,55422.48490798923,53751.949015372535,54243.28310143627,49386688,55.90192193031669,3264.8597828610323,37.43785871719692
2025-04-28,53358.8828125,55520.75283436924,53260.61599332412,54832.88510013812,55105429,46.9330439108307,3164.387488679441,30.814294835311006
2025-05-05,53850.21875,54538.08650775547,53358.88463731752,53358.88463731752,41271845,49.73565667312587,2965.869109337044,29.04947903400536
2025-05-12,55815.55078125,57584.35344685299,54046.74811564701,54243.28174515845,68250680,57.58932318960084,3042.6956680886387,32.93205415382774
2025-05-19,53260.61328125,55717.2836355512,53162.34646707795,55422.483193035056,53178256,49.45080418965426,3003.74653269698,30.445860102577896
2025-05-26,55225.953125,56208.621330071175,52769.282612322066,52965.8162533363,81013633,42.33935747846619,3047.3057512021933,33.82802355021227
2025-06-02,58075.6875,58861.82201776649,55225.94987309645,55324.21668781726,55786525,39.489488726033606,3106.1623905489782,47.08006052636238
2025-06-09,57289.5546875,59353.15785806175,56699.95378162521,59353.15785806175,86987247,53.28176694659274,3060.866559137734,66.11851856119661
2025-06-16,58468.76171875,59549.696809348745,55913.82423188026,56994.759322478996,103407109,70.18309004103003,3118.367160970809,81.54313165870424
2025-06-23,59746.22265625,60532.35716488487,56601.68462171053,57387.81913034539,100965975,72.50732507305369,3199.5976991911625,81.97712824508687
2025-06-30,62584.43359375,63968.6074804996,59123.99887687599,60508.1727636256,101598834,81.12069450283457,3364.0987896344077,87.1906503021322
2025-07-07,61892.34375,62584.4306609425,59519.474341054316,62188.952426118216,88820970,76.69437296688378,3334.1848359405353,86.32492862374704
2025-07-14,66341.46875,67033.55560730254,61101.382544709384,61595.73029992548,118448922,83.58900335804279,3593.983658605797,88.08316094877512
2025-07-21,65155.046875,68022.2644157815,64166.351171282244,66638.09043057663,74980315,83.9445261409669,3620.176617195142,85.93705742590753
